img,forehand,backhand,none
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_16.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_17.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_18.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_19.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_20.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_21.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_43.jpg,1,0,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_44.jpg,1,0,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_45.jpg,1,0,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_46.jpg,1,0,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_47.jpg,1,0,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_48.jpg,1,0,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_67.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_68.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_69.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_70.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_71.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_72.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_73.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_90.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_91.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_92.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_578.jpg,0,0,1
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_579.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_582.jpg,0,1,0
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_577.jpg,0,0,1
Tennis • Longest Rallies EVER (140+ Shots).mp4_10_0_1402.jpg,0,0,1
